study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3,question_4,correct_answer_1,correct_answer_2
study3,D,11,11.txt,"The Boring SportBill had finally received three days of shore leave when his ship docked in Boston harbor.  He was thrilled because his grandparents lived in Boston.  Bill hadn't seen them for several years and he knew they would be happy to see him.  When he got off the ship, he called them, and they were indeed happy to hear from him.  When he arrived at his grandparents, Bill's grandmother had a if he had gotten anything to drink.sipping the beer, Bill talked about his experiences since joining the Navy.  He had traveled all over the Mediterranean and the Pacific.  Bill had joined the Navy ten years ago and had traveled everywhere.  He loved the Navy and had decided to make it his career.  The pay was good and he had learned to repair computers so he knew he could get a good job when he got out.  Bill was in the middle of his story when his grandmother interrupted him because she had to go shopping.  Bill decided to sit on the couch and wait for his grandfather.  He picked up a magazine but was so excited to see his grandparents that he couldn't concentrate.  He decided to watch television.  He couldn't watch TV atsea because the reception was so bad.what he was watching on television.didn't find baseball particularlyexciting but he couldn't find anythingelse.  After a while, Bill heard hisgrandfather outside.  He looked outthe window and saw him so he leaped offthe couch, raced to the door and gavehis grandfather a big hug.  Bill satback on the couch and talked with hisgrandfather.  Bill's grandfather asked him3Bill turned on some baseball.  He","['What had Bill gotten to drink?', 'What was Bill watching on TV?', ""What city did Bill's grandparents live in?"", 'How long had Bill been in the Navy?']",He had had a beer.,Bill was watching a game between the San Diego Padres and the Boston Red Sox.,Boston-Bill's grandfather livedin Boston-Bill's grandparents livedin Boston,Bill had been in the Navy about ten years.,glass of beer,baseball
study3,A,12,12.txt,"Commuting from the CountryMark had grown up in the city but he had always wanted to live in the country with lots of land and a large garden.  The first opportunity he had, he packed up his belongings and bought a house in the country.  Every day Mark would ridehow he got to work in the morning.was long but allowed Mark to read the newspaper in the morning and relax at night. Mark was a teacher who taught at an elementary school in the city.  He liked teaching because he could call the summers his own.  Country living had its problems however.  Mark had left all his friends behind in the city and he had no neighbors out in the country.  One warm summer day, Mark was out working in his garden.  He had done all of the planting and he needed to do some weeding.  Mark was happy to see the progress.  He was what he had picked from the garden.was ripe.  Mark decided to have a few earsof the corn with his lunch.  Mark washeading for the house when he saw a friendfrom the city pull in the driveway.  Markwas excited to see his friend.  He setup some chairs on the porch and told hisfriend about his new home.  He said hemissed the city but really loved livingin the country.  Mark's friend asked him3the train to and from work.  The train ride ","['How did Mark get to work in the morning?', 'What did Mark pick from the garden?', 'Where did Mark buy his new home?', 'Why did Mark like having his summers off?']",In the city he had a job he loved.,"The tomato, the cucumber, and the pepper.",Mark bought his new home at a foreclosure sale in the city.,He liked having his summers off because he had a great garden.,train,corn
study3,B,12,12.txt,"Commuting from the CountryMark had grown up in the city but he had always wanted to live in the country with lots of land and a large garden.  The first opportunity he had, he packed up his belongings and bought a house in the country.  Every day Mark would ridehow he got to work in the morning.was long but allowed Mark to read the newspaper in the morning and relax at night. Mark was a teacher who taught at an elementary school in the city.  He liked teaching because he could call the summers his own.  Country living had its problems however.  Mark had left all his friends behind in the city and he had no neighbors out in the country.  One warm summer day, Mark was out working in his garden.  He had done all of the planting and he needed to do some weeding.  Mark was happy to see the progress.  He was what he had picked from the garden.was ripe.  Mark decided to have a few earsof the corn with his lunch.  Mark washeading for the house when he saw a friendfrom the city pull in the driveway.  Markwas excited to see his friend.  He setup some chairs on the porch and told hisfriend about his new home.  He said hemissed the city but really loved livingin the country.  Mark's friend asked him3delighted to see that some of the corn ","['How did Mark get to work in the morning?', 'What did Mark pick from the garden?', 'Where did Mark buy his new home?', 'Why did Mark like having his summers off?']",The first thing you need to do is to get up.,Corn,"When Mark built his own house, he bought the house directly from the landowner.",Mark was a very good teacher.,train,corn
study3,C,12,12.txt,"Cooking in the CountryMark had grown up in the city but he had always wanted to live in the country with lots of land and a large garden.  The first opportunity he had, he packed up his belongings and bought a house in the country.  Every day Mark would ridehow he got to work in the morning.was long but allowed Mark to read the newspaper in the morning and relax at night. Mark was a teacher who taught at an elementary school in the city.  He liked teaching because he could call the summers his own.  Country living had its problems however.  Mark had left all his friends behind in the city and he had no neighbors out in the country.  One warm summer day, Mark was out working in his garden.  He had done all of the planting and he needed to do some weeding.  Mark was happy to see the progress.  He was what he had picked from the garden.was ripe.  Mark decided to have a few earsof the corn with his lunch.  Mark washeading for the house when he saw a friendfrom the city pull in the driveway.  Markwas excited to see his friend.  He setup some chairs on the porch and told hisfriend about his new home.  He said hemissed the city but really loved livingin the country.  Mark's friend asked him3the train to and from work.  The train ride ","['How did Mark get to work in the morning?', 'What did Mark pick from the garden?', 'Where did Mark buy his new home?', 'Why did Mark like having his summers off?']",He walked from the city to work,1.,Mark bought it on his own.,Mark loved the country life.,train,corn
study3,D,12,12.txt,"Cooking in the CountryMark had grown up in the city but he had always wanted to live in the country with lots of land and a large garden.  The first opportunity he had, he packed up his belongings and bought a house in the country.  Every day Mark would ridehow he got to work in the morning.was long but allowed Mark to read the newspaper in the morning and relax at night. Mark was a teacher who taught at an elementary school in the city.  He liked teaching because he could call the summers his own.  Country living had its problems however.  Mark had left all his friends behind in the city and he had no neighbors out in the country.  One warm summer day, Mark was out working in his garden.  He had done all of the planting and he needed to do some weeding.  Mark was happy to see the progress.  He was what he had picked from the garden.was ripe.  Mark decided to have a few earsof the corn with his lunch.  Mark washeading for the house when he saw a friendfrom the city pull in the driveway.  Markwas excited to see his friend.  He setup some chairs on the porch and told hisfriend about his new home.  He said hemissed the city but really loved livingin the country.  Mark's friend asked him3delighted to see that some of the corn ","['How did Mark get to work in the morning?', 'What did Mark pick from the garden?', 'Where did Mark buy his new home?', 'Why did Mark like having his summers off?']",He rode in his horse.,"Corn, Beans, Tomatoes, Peppers, and Potatoes.",It was a very expensive deal.,1.,train,corn
study3,A,13,13.txt,"Reading MaterialAs the five-thirty flight was leaving the ground, Diane was walking the aisles serving the passengers their drinks.  Just as she was about to hand one man his drink, she was grabbed from behind by a young man.  He told Diane he wanted to hijack the plane.  Diane recognized the hijacker.  She remembered that he was the last passenger to board.  Diane rememberedhad carried on the plane.She remembered thinking he probably stopped to buy the book and almost missed the flight.  Now he was holding her tightly and demanding to speak with the pilot.  Diane told everyone to be calm and no one would get hurt.  Diane took the hijacker to the pilot.  The hijacker squeezed her arm and told her not to say a word.  He told the pilot that he wanted to go to Cuba.  Diane knew the pilot would agree to do anything that the hijacker wanted.  Diane realized he needed to ensure the safety of his passengers and crew.  Heasked the hijacker to release Diane so she could calm the passengers.  Diane knew the passengers would be upset.  She told them that the hijacker wanted to go to Cuba.  She said nobody would get hurt if everyone stayed calm.  As she was talking,had put under his seat.hijacker's seat.  However, she decided not to touch the radio.  By the time theplane landed in Cuba, Diane had calmedthe passengers.  When the hijacker leftthe plane, Diane told the passengersthat they were no longer in danger.  The hijacker was arrested by waiting Cuban authorities and the plane took off for Miami.  Diane met several F.B.I. agents in Miami.  The agents wanted to talkwith her about the hijacking.  Theyquestioned her for hours.  They were veryinterested in knowing what the hijacker3that he had been carrying a large book.","['What did the hijacker carry on the plane?', 'What had the hijacker put under his seat?', 'What did the hijacker squeeze?', 'Where was the plane hijacked to?']",A large book.,The hijacker told the FBI that he wanted to go to Cuba.,He squeezed her right arm and told her that he wanted to go to Cuba.,Cuba.,a large book,radio
study3,B,13,13.txt,"Reading MaterialAs the five-thirty flight was leaving the ground, Diane was walking the aisles serving the passengers their drinks.  Just as she was about to hand one man his drink, she was grabbed from behind by a young man.  He told Diane he wanted to hijack the plane.  Diane recognized the hijacker.  She remembered that he was the last passenger to board.  Diane rememberedhad carried on the plane.She remembered thinking he probably stopped to buy the book and almost missed the flight.  Now he was holding her tightly and demanding to speak with the pilot.  Diane told everyone to be calm and no one would get hurt.  Diane took the hijacker to the pilot.  The hijacker squeezed her arm and told her not to say a word.  He told the pilot that he wanted to go to Cuba.  Diane knew the pilot would agree to do anything that the hijacker wanted.  Diane realized he needed to ensure the safety of his passengers and crew.  Heasked the hijacker to release Diane so she could calm the passengers.  Diane knew the passengers would be upset.  She told them that the hijacker wanted to go to Cuba.  She said nobody would get hurt if everyone stayed calm.  As she was talking,had put under his seat.hijacker's seat.  However, she decided not to touch the radio.  By the time theplane landed in Cuba, Diane had calmedthe passengers.  When the hijacker leftthe plane, Diane told the passengersthat they were no longer in danger.  The hijacker was arrested by waiting Cuban authorities and the plane took off for Miami.  Diane met several F.B.I. agents in Miami.  The agents wanted to talkwith her about the hijacking.  Theyquestioned her for hours.  They were veryinterested in knowing what the hijacker3she noticed a radio under the ","['What did the hijacker carry on the plane?', 'What had the hijacker put under his seat?', 'What did the hijacker squeeze?', 'Where was the plane hijacked to?']",The hijacker was carrying a radio that he woulduse to communicate with his co-conspirators.,Nothing Diane told them about the radio under his seat.,A little bit of the left earlobe.,To Cuba.,a large book,radio
study3,C,13,13.txt,"The TransmitterAs the five-thirty flight was leaving the ground, Diane was walking the aisles serving the passengers their drinks.  Just as she was about to hand one man his drink, she was grabbed from behind by a young man.  He told Diane he wanted to hijack the plane.  Diane recognized the hijacker.  She remembered that he was the last passenger to board.  Diane rememberedhad carried on the plane.She remembered thinking he probably stopped to buy the book and almost missed the flight.  Now he was holding her tightly and demanding to speak with the pilot.  Diane told everyone to be calm and no one would get hurt.  Diane took the hijacker to the pilot.  The hijacker squeezed her arm and told her not to say a word.  He told the pilot that he wanted to go to Cuba.  Diane knew the pilot would agree to do anything that the hijacker wanted.  Diane realized he needed to ensure the safety of his passengers and crew.  Heasked the hijacker to release Diane so she could calm the passengers.  Diane knew the passengers would be upset.  She told them that the hijacker wanted to go to Cuba.  She said nobody would get hurt if everyone stayed calm.  As she was talking,had put under his seat.hijacker's seat.  However, she decided not to touch the radio.  By the time theplane landed in Cuba, Diane had calmedthe passengers.  When the hijacker leftthe plane, Diane told the passengersthat they were no longer in danger.  The hijacker was arrested by waiting Cuban authorities and the plane took off for Miami.  Diane met several F.B.I. agents in Miami.  The agents wanted to talkwith her about the hijacking.  Theyquestioned her for hours.  They were veryinterested in knowing what the hijacker3that he had been carrying a large book.","['What did the hijacker carry on the plane?', 'What had the hijacker put under his seat?', 'What did the hijacker squeeze?', 'Where was the plane hijacked to?']",The hijacker told the agents that he had been carrying a large book.,A book written by Richard Dreyfuss.,The hijacker squeezed Diane.,Cuba,a large book,radio
study3,D,13,13.txt,"The TransmitterAs the five-thirty flight was leaving the ground, Diane was walking the aisles serving the passengers their drinks.  Just as she was about to hand one man his drink, she was grabbed from behind by a young man.  He told Diane he wanted to hijack the plane.  Diane recognized the hijacker.  She remembered that he was the last passenger to board.  Diane rememberedhad carried on the plane.She remembered thinking he probably stopped to buy the book and almost missed the flight.  Now he was holding her tightly and demanding to speak with the pilot.  Diane told everyone to be calm and no one would get hurt.  Diane took the hijacker to the pilot.  The hijacker squeezed her arm and told her not to say a word.  He told the pilot that he wanted to go to Cuba.  Diane knew the pilot would agree to do anything that the hijacker wanted.  Diane realized he needed to ensure the safety of his passengers and crew.  Heasked the hijacker to release Diane so she could calm the passengers.  Diane knew the passengers would be upset.  She told them that the hijacker wanted to go to Cuba.  She said nobody would get hurt if everyone stayed calm.  As she was talking,had put under his seat.hijacker's seat.  However, she decided not to touch the radio.  By the time theplane landed in Cuba, Diane had calmedthe passengers.  When the hijacker leftthe plane, Diane told the passengersthat they were no longer in danger.  The hijacker was arrested by waiting Cuban authorities and the plane took off for Miami.  Diane met several F.B.I. agents in Miami.  The agents wanted to talkwith her about the hijacking.  Theyquestioned her for hours.  They were veryinterested in knowing what the hijacker3she noticed a radio under the ","['What did the hijacker carry on the plane?', 'What had the hijacker put under his seat?', 'What did the hijacker squeeze?', 'Where was the plane hijacked to?']","The hijacker wore a mask, a ski mask, a balaclava, and a vest that covered his face.",A paperweight.,A radio.,"Miami, FL Question: Did you know the hijacker?",a large book,radio
study3,A,14,14.txt,"The Wayward ToolDavid had just bought his first house in a small town near his new job.  Since he didn't have much money, he had to buy a house that was still unfinished.  Every weekend, he worked around the house and yard.  One weekend David called his friend Tom to help him paint the house.  He was afraid he wouldn't finish the front of the house before the cold what broke the window.David lost his footing and fell, causing the ladder to fall and break a window.  David decided to leave the window and start painting.  David and Tom worked all day on the front of the house.  David figured that if the weather was good, he could finish painting before winter came and then he could work on the inside during the winter.  David and Tom were working fast and furiously to finish.  David decided not to stop for lunch. He continued painting while he ate a quick sandwich.  By four o'clock, David had finished the front of the house and he became confident that he would finish the whole house before winter.  David decided to quit for the day so he and Tom cleaned up.  Tom started cleaning the brushes where David had gone.put away the paint.  The basement was quite damp, a problem David planned to fix after he finished the rest of the house.  Just then, David's wife came outside.  She stopped and gave a long approving look at the house. She toldTom it looked great and stepped backto get a better view.  She really likedthe color of the paint.  She asked Tom3weather set in.  While moving a ladder, ","['What broke the window?', 'Where had David gone to?', 'Who helped David paint?', 'What did David have for lunch?']",David decided not to stop for lunch.,The Wayward Tool,David's Wife,Question: Tom was at work.,ladder,basement
study3,B,14,14.txt,"The Wayward ToolDavid had just bought his first house in a small town near his new job.  Since he didn't have much money, he had to buy a house that was still unfinished.  Every weekend, he worked around the house and yard.  One weekend David called his friend Tom to help him paint the house.  He was afraid he wouldn't finish the front of the house before the cold what broke the window.David lost his footing and fell, causing the ladder to fall and break a window.  David decided to leave the window and start painting.  David and Tom worked all day on the front of the house.  David figured that if the weather was good, he could finish painting before winter came and then he could work on the inside during the winter.  David and Tom were working fast and furiously to finish.  David decided not to stop for lunch. He continued painting while he ate a quick sandwich.  By four o'clock, David had finished the front of the house and he became confident that he would finish the whole house before winter.  David decided to quit for the day so he and Tom cleaned up.  Tom started cleaning the brushes where David had gone.put away the paint.  The basement was quite damp, a problem David planned to fix after he finished the rest of the house.  Just then, David's wife came outside.  She stopped and gave a long approving look at the house. She toldTom it looked great and stepped backto get a better view.  She really likedthe color of the paint.  She asked Tom3while David went into the basement to ","['What broke the window?', 'Where had David gone to?', 'Who helped David paint?', 'What did David have for lunch?']",David decided to finish painting the front of the house before winter.,He had gone to the basement to fix the broken window.,David did the majority of the work.,A sandwich and a beer.,ladder,basement
study3,C,14,14.txt,"Subterranean StorageDavid had just bought his first house in a small town near his new job.  Since he didn't have much money, he had to buy a house that was still unfinished.  Every weekend, he worked around the house and yard.  One weekend David called his friend Tom to help him paint the house.  He was afraid he wouldn't finish the front of the house before the cold what broke the window.David lost his footing and fell, causing the ladder to fall and break a window.  David decided to leave the window and start painting.  David and Tom worked all day on the front of the house.  David figured that if the weather was good, he could finish painting before winter came and then he could work on the inside during the winter.  David and Tom were working fast and furiously to finish.  David decided not to stop for lunch. He continued painting while he ate a quick sandwich.  By four o'clock, David had finished the front of the house and he became confident that he would finish the whole house before winter.  David decided to quit for the day so he and Tom cleaned up.  Tom started cleaning the brushes where David had gone.put away the paint.  The basement was quite damp, a problem David planned to fix after he finished the rest of the house.  Just then, David's wife came outside.  She stopped and gave a long approving look at the house. She toldTom it looked great and stepped backto get a better view.  She really likedthe color of the paint.  She asked Tom3weather set in.  While moving a ladder, ","['What broke the window?', 'Where had David gone to?', 'Who helped David paint?', 'What did David have for lunch?']",Question: What did David do to fix the window?,To paint the front and the inside of the house.,Tom,Baked Fish with Tomato Aioli,ladder,basement
study3,D,14,14.txt,"Subterranean StorageDavid had just bought his first house in a small town near his new job.  Since he didn't have much money, he had to buy a house that was still unfinished.  Every weekend, he worked around the house and yard.  One weekend David called his friend Tom to help him paint the house.  He was afraid he wouldn't finish the front of the house before the cold what broke the window.David lost his footing and fell, causing the ladder to fall and break a window.  David decided to leave the window and start painting.  David and Tom worked all day on the front of the house.  David figured that if the weather was good, he could finish painting before winter came and then he could work on the inside during the winter.  David and Tom were working fast and furiously to finish.  David decided not to stop for lunch. He continued painting while he ate a quick sandwich.  By four o'clock, David had finished the front of the house and he became confident that he would finish the whole house before winter.  David decided to quit for the day so he and Tom cleaned up.  Tom started cleaning the brushes where David had gone.put away the paint.  The basement was quite damp, a problem David planned to fix after he finished the rest of the house.  Just then, David's wife came outside.  She stopped and gave a long approving look at the house. She toldTom it looked great and stepped backto get a better view.  She really likedthe color of the paint.  She asked Tom3while David went into the basement to ","['What broke the window?', 'Where had David gone to?', 'Who helped David paint?', 'What did David have for lunch?']",The ladder David had used to get the paint off the front of the house.,He had stopped in the basement to clean brushpaints and brushes.,Tom,a sandwich and some coffee.,ladder,basement
study3,A,15,15.txt,"The Charred VesselSteve thought that working at the fire department had been easy but lately, he noticed a rash of fires had been plaguingthe town.  Mostly, the fires were empty buildings and summer cottages down by the lake.  One night, Steve spotted some smoke down by the lake.  By the time he got there, a building was fully engulfed in flames.  He was too late to save the building and as the walls began to fall what had burned in the building.Unfortunately, he couldn't save the boat either.  By sunrise, Steve saw nothing left but some smoking embers and some smoldering beams.  He poked around in the remains of the building to make sure there was no chance of the fire starting to burn again.  Steve knew it had been a very dry autumn this year and any stray spark would probably start a fire that would burn up a good portion of the forest around the lake if it was uncontainable.  The police had also asked Steve to look around for arson clues.  Steve thought the fire was suspicious and had wanted to investigate.  He wanted to catch the arsonist and end the rash of fires before somebody got killed.  When Steve saw that the embers had cooled, he began digging around in the ashes.  Unfortunately, he wasn't having much success.  He was able to find an old what he had found in the ashes.was important.  By mid-morning, Steve decided the fire was sufficiently out so that he could return to the fire station.  He was more than happy to go back.  Having worked all night, he was cold, tired, and especially hungry.  Steve decided to cook some pancakes.  While cooking, one of his buddies asked him3away, Steve could see a boat inside.  ","['What burned in the building?', 'What did Steve find in the ashes?', 'Where had the rash of fires been taking place?', 'What did Steve decide to cook?']",The boat.,"He found a couple of old photos, a couple of old notes, and a few old pictures of some girls.","On the lake, the fires had been killing cottages and summer cottages.",Pancakes,boat,glove
study3,B,15,15.txt,"The Charred VesselSteve thought that working at the fire department had been easy but lately, he noticed a rash of fires had been plaguingthe town.  Mostly, the fires were empty buildings and summer cottages down by the lake.  One night, Steve spotted some smoke down by the lake.  By the time he got there, a building was fully engulfed in flames.  He was too late to save the building and as the walls began to fall what had burned in the building.Unfortunately, he couldn't save the boat either.  By sunrise, Steve saw nothing left but some smoking embers and some smoldering beams.  He poked around in the remains of the building to make sure there was no chance of the fire starting to burn again.  Steve knew it had been a very dry autumn this year and any stray spark would probably start a fire that would burn up a good portion of the forest around the lake if it was uncontainable.  The police had also asked Steve to look around for arson clues.  Steve thought the fire was suspicious and had wanted to investigate.  He wanted to catch the arsonist and end the rash of fires before somebody got killed.  When Steve saw that the embers had cooled, he began digging around in the ashes.  Unfortunately, he wasn't having much success.  He was able to find an old what he had found in the ashes.was important.  By mid-morning, Steve decided the fire was sufficiently out so that he could return to the fire station.  He was more than happy to go back.  Having worked all night, he was cold, tired, and especially hungry.  Steve decided to cook some pancakes.  While cooking, one of his buddies asked him3glove but he wasn't sure if the glove ","['What burned in the building?', 'What did Steve find in the ashes?', 'Where had the rash of fires been taking place?', 'What did Steve decide to cook?']",The fire was probably started by someone who was trying to light a cigarette.,The remains of a human hand.,The forest.,Pancakes,boat,glove
study3,C,15,15.txt,"The Inexplicable ClueSteve thought that working at the fire department had been easy but lately, he noticed a rash of fires had been plaguingthe town.  Mostly, the fires were empty buildings and summer cottages down by the lake.  One night, Steve spotted some smoke down by the lake.  By the time he got there, a building was fully engulfed in flames.  He was too late to save the building and as the walls began to fall what had burned in the building.Unfortunately, he couldn't save the boat either.  By sunrise, Steve saw nothing left but some smoking embers and some smoldering beams.  He poked around in the remains of the building to make sure there was no chance of the fire starting to burn again.  Steve knew it had been a very dry autumn this year and any stray spark would probably start a fire that would burn up a good portion of the forest around the lake if it was uncontainable.  The police had also asked Steve to look around for arson clues.  Steve thought the fire was suspicious and had wanted to investigate.  He wanted to catch the arsonist and end the rash of fires before somebody got killed.  When Steve saw that the embers had cooled, he began digging around in the ashes.  Unfortunately, he wasn't having much success.  He was able to find an old what he had found in the ashes.was important.  By mid-morning, Steve decided the fire was sufficiently out so that he could return to the fire station.  He was more than happy to go back.  Having worked all night, he was cold, tired, and especially hungry.  Steve decided to cook some pancakes.  While cooking, one of his buddies asked him3away, Steve could see a boat inside.  ","['What burned in the building?', 'What did Steve find in the ashes?', 'Where had the rash of fires been taking place?', 'What did Steve decide to cook?']",The boat.,An old stove.,What is the most logical place to start an arson investigation?,Pancakes.,boat,glove
study3,D,15,15.txt,"The Inexplicable ClueSteve thought that working at the fire department had been easy but lately, he noticed a rash of fires had been plaguingthe town.  Mostly, the fires were empty buildings and summer cottages down by the lake.  One night, Steve spotted some smoke down by the lake.  By the time he got there, a building was fully engulfed in flames.  He was too late to save the building and as the walls began to fall what had burned in the building.Unfortunately, he couldn't save the boat either.  By sunrise, Steve saw nothing left but some smoking embers and some smoldering beams.  He poked around in the remains of the building to make sure there was no chance of the fire starting to burn again.  Steve knew it had been a very dry autumn this year and any stray spark would probably start a fire that would burn up a good portion of the forest around the lake if it was uncontainable.  The police had also asked Steve to look around for arson clues.  Steve thought the fire was suspicious and had wanted to investigate.  He wanted to catch the arsonist and end the rash of fires before somebody got killed.  When Steve saw that the embers had cooled, he began digging around in the ashes.  Unfortunately, he wasn't having much success.  He was able to find an old what he had found in the ashes.was important.  By mid-morning, Steve decided the fire was sufficiently out so that he could return to the fire station.  He was more than happy to go back.  Having worked all night, he was cold, tired, and especially hungry.  Steve decided to cook some pancakes.  While cooking, one of his buddies asked him3glove but he wasn't sure if the glove ","['What burned in the building?', 'What did Steve find in the ashes?', 'Where had the rash of fires been taking place?', 'What did Steve decide to cook?']",The burnt glove,1) 3glove,All over town.,Pancakes,boat,glove
study3,A,16,16.txt,"The Killer's BladeJohn had been promoted to detective two months ago and he couldn't wait to make his first big arrest.  He knew he would be nervous when a case came to trial because the defense attorney would be trying to discredit his testimony in order to get his client off.  John decided he would only make careful arrests.  Early one night, John responded to a call on Maple street and when he arrived, found a young woman lying on the sidewalk.  He turned her over, saw a pool of blood, and realized she was dead.  Johnwhat the murder weapon had been.next to the woman.  He thought the knifemight have fingerprints.  John called the coroner's office and he attempted to keep the growing crowd away while he waited.  Suddenly, John saw a man break through the crowd and crouch over the woman.  He told John that he was the woman's husband.  John immediately pulled him back from the body and questioned him, wanting to know if he knew anything.  John was looking for clues and asked the husband to help him.  He wanted to solve this case and show his boss that he had deserved his recent promotion.  John was being pretty insensitive however. The man had just lost his wife and didn't really want to talk but John kept him around anyway.  Actually, John suspected the husband and didn't want to let him go until he was sure he wasn't guilty.  When if anything had been stolen.had been stolen, he knew the husbandwas innocent.  The stolen money meantthat the case was probably a robbery.John didn't need much time to find asuspect and bring him to trial.  Johntook the stand knowing the defenseattorney would be tough.  He was verynervous but he was also ready for anyquestion.  The defense attorney asked him3didn't dare touch the knife that was lying","['What was the murder weapon?', 'What had been stolen?', 'Why was John nervous about going to trial?', 'Why did John want to solve this case?']",It was a knife.,The woman's purse.,One of the reasons he was nervous was that he was an ex-convict.,"He was getting promoted, the case was important, and his best friend was a victim.",knife,money
study3,B,16,16.txt,"The Killer's BladeJohn had been promoted to detective two months ago and he couldn't wait to make his first big arrest.  He knew he would be nervous when a case came to trial because the defense attorney would be trying to discredit his testimony in order to get his client off.  John decided he would only make careful arrests.  Early one night, John responded to a call on Maple street and when he arrived, found a young woman lying on the sidewalk.  He turned her over, saw a pool of blood, and realized she was dead.  Johnwhat the murder weapon had been.next to the woman.  He thought the knifemight have fingerprints.  John called the coroner's office and he attempted to keep the growing crowd away while he waited.  Suddenly, John saw a man break through the crowd and crouch over the woman.  He told John that he was the woman's husband.  John immediately pulled him back from the body and questioned him, wanting to know if he knew anything.  John was looking for clues and asked the husband to help him.  He wanted to solve this case and show his boss that he had deserved his recent promotion.  John was being pretty insensitive however. The man had just lost his wife and didn't really want to talk but John kept him around anyway.  Actually, John suspected the husband and didn't want to let him go until he was sure he wasn't guilty.  When if anything had been stolen.had been stolen, he knew the husbandwas innocent.  The stolen money meantthat the case was probably a robbery.John didn't need much time to find asuspect and bring him to trial.  Johntook the stand knowing the defenseattorney would be tough.  He was verynervous but he was also ready for anyquestion.  The defense attorney asked him3John found out that the woman's money ","['What was the murder weapon?', 'What had been stolen?', 'Why was John nervous about going to trial?', 'Why did John want to solve this case?']",A 2,The husband's car,He was nervous because he had lost his wife.,"He didn't want to get into trouble, he wanted to be promoted.",knife,money
study3,C,16,16.txt,"The Missing LootJohn had been promoted to detective two months ago and he couldn't wait to make his first big arrest.  He knew he would be nervous when a case came to trial because the defense attorney would be trying to discredit his testimony in order to get his client off.  John decided he would only make careful arrests.  Early one night, John responded to a call on Maple street and when he arrived, found a young woman lying on the sidewalk.  He turned her over, saw a pool of blood, and realized she was dead.  Johnwhat the murder weapon had been.next to the woman.  He thought the knifemight have fingerprints.  John called the coroner's office and he attempted to keep the growing crowd away while he waited.  Suddenly, John saw a man break through the crowd and crouch over the woman.  He told John that he was the woman's husband.  John immediately pulled him back from the body and questioned him, wanting to know if he knew anything.  John was looking for clues and asked the husband to help him.  He wanted to solve this case and show his boss that he had deserved his recent promotion.  John was being pretty insensitive however. The man had just lost his wife and didn't really want to talk but John kept him around anyway.  Actually, John suspected the husband and didn't want to let him go until he was sure he wasn't guilty.  When if anything had been stolen.had been stolen, he knew the husbandwas innocent.  The stolen money meantthat the case was probably a robbery.John didn't need much time to find asuspect and bring him to trial.  Johntook the stand knowing the defenseattorney would be tough.  He was verynervous but he was also ready for anyquestion.  The defense attorney asked him3didn't dare touch the knife that was lying","['What was the murder weapon?', 'What had been stolen?', 'Why was John nervous about going to trial?', 'Why did John want to solve this case?']",The murder weapon was a knife made by the same manufacturer that was used in the attack.,2.,The only thing he had to lose was his job.,I just thought it would be funny to solve a murder.,knife,money
study3,D,16,16.txt,"The Missing LootJohn had been promoted to detective two months ago and he couldn't wait to make his first big arrest.  He knew he would be nervous when a case came to trial because the defense attorney would be trying to discredit his testimony in order to get his client off.  John decided he would only make careful arrests.  Early one night, John responded to a call on Maple street and when he arrived, found a young woman lying on the sidewalk.  He turned her over, saw a pool of blood, and realized she was dead.  Johnwhat the murder weapon had been.next to the woman.  He thought the knifemight have fingerprints.  John called the coroner's office and he attempted to keep the growing crowd away while he waited.  Suddenly, John saw a man break through the crowd and crouch over the woman.  He told John that he was the woman's husband.  John immediately pulled him back from the body and questioned him, wanting to know if he knew anything.  John was looking for clues and asked the husband to help him.  He wanted to solve this case and show his boss that he had deserved his recent promotion.  John was being pretty insensitive however. The man had just lost his wife and didn't really want to talk but John kept him around anyway.  Actually, John suspected the husband and didn't want to let him go until he was sure he wasn't guilty.  When if anything had been stolen.had been stolen, he knew the husbandwas innocent.  The stolen money meantthat the case was probably a robbery.John didn't need much time to find asuspect and bring him to trial.  Johntook the stand knowing the defenseattorney would be tough.  He was verynervous but he was also ready for anyquestion.  The defense attorney asked him3John found out that the woman's money ","['What was the murder weapon?', 'What had been stolen?', 'Why was John nervous about going to trial?', 'Why did John want to solve this case?']",She had been killed with a knife.,The money had been stolen.,He wasn't sure if he would be able to prove his case.,He was ready to get a promotion.,knife,money
